University or School Name,Website,Street Address,City,State,Zip,Library Name,Library Website,Twitter Profile,Blog,Facebook Page,Staff Directory Page
Samford Cumberland School of Law,http://cumberland.samford.edu,800 Lakeshore Drive,Birmingham,AL,35229,Lucille Stewart Beeson Law Library,http://lawlib.samford.edu/,https://twitter.com/BeesonLawLib,http://lawlib.samford.edu,http://www.facebook.com/Beeson.Law.Library,http://lawlib.samford.edu/?page_id=29
Faulkner University (Thomas Goode Jones School of Law),http://www.faulkner.edu/jsl/,5345 Atlanta Highway,Montgomery,AL,36109,Jones Library,https://www.faulkner.edu/law/jones-library/,https://twitter.com/JSL_Library,none found,https://www.facebook.com/faulkneruniversitylawlibrary/,http://libguides.faulkner.edu/c.php?g=401679&p=2732146
University of Alabama,http://www.law.ua.edu/,101 Paul Bryant Dr,Tuscaloosa,AL,35487,Bounds Law Library,http://www.library.law.ua.edu/,none found,http://www.law.ua.edu/specialcollections/,none found,http://www.library.law.ua.edu/info/directory/index.php
University of Arkansas - Fayetteville,http://law.uark.edu/,1045 W. Maple St.,Fayetteville,AR,72701,Young Law Library,http://law.uark.edu/library/research/,https://twitter.com/UALawLibrary,none found,https://www.facebook.com/YoungLawLibrary,http://law.uark.edu/directory/?dept=LLIB
University of Arkansas - Little Rock,http://www.law.ualr.edu/,1201 McMath Avenue ,Little Rock,AR,72202,Bowen School of Law Library,http://ualr.edu/law/library/,none found,none found,https://www.facebook.com/BowenLawLibrary/,http://ualr.edu/lawlibrary/2-2/library-staff/
Arizona Summit Law School,http://www.azsummitlaw.edu,One North Central Ave.,Phoenix,AZ,85004,Law School Library,http://www.azsummitlaw.edu/student-resources/law-library,https://twitter.com/AzSummitLibrary,http://www.azsummitlaw.edu/blogs/library,https://www.facebook.com/ArizonaSummitLawSchoolLibrary,none found
Arizona State University (Sandra Day O'Connor College of Law),http://www.law.asu.edu/,1102 S MCALLISTER AVE,Tempe,AZ,85287-7806,Ross-Blakley Law Library,http://www.law.asu.edu/library/RossBlakleyLawLibrary.aspx,https://twitter.com/asulawlibrary,http://lawlibnews.lawnews-asu.org,https://www.facebook.com/ArizonaStateUniversityLawLibrary/,https://web.law.asu.edu/library/RossBlakleyLawLibrary/LibraryInformation/Staff.aspx
University of Arizona,http://www.law.arizona.edu/,1201 East Speedway Boulevard,Tucson,AZ,85721,Daniel F. Cracchiolo Law Library,http://lawlibrary.arizona.edu/,https://twitter.com/UALawLib,none found,https://www.facebook.com/University-of-Arizona-Law-Library-157015764368304/,http://lawlibrary.arizona.edu/people
University of California at Berkeley (Boalt Hall),http://www.law.berkeley.edu/,"Boalt Hall, Mail Stop 7210",Berkeley,CA,94720-7210,Garret W. McEnerney Law Library,https://www.law.berkeley.edu/law-library/,https://twitter.com/BerkLawLibrary,none found,none found,https://www.law.berkeley.edu/library/dynamic/staff.php
Whittier Law School,http://www.law.whittier.edu/,3333 Harbor Boulevard,Costa Mesa,CA,92626,Law Library,https://www.law.whittier.edu/index/law-library/,none found,none found,none found,none found
University of California - Davis,http://www.law.ucdavis.edu/,400 Mrak Hall Drive,Davis,CA,95616-5203,Mabie Law Library,https://law.ucdavis.edu/library/,none found,https://law.ucdavis.edu/library/news/,none found,https://law.ucdavis.edu/library/about/staff.html
Western State College of Law,http://www.wsulaw.edu/,1111 North State College Blvd,Fullerton,CA,92831-3014,Law Library,http://westl.iii.com/,none found,http://wsulawlibrary.blogspot.com,none found,http://westl.iii.com/screens/staff.html
University of California - Irvine,http://www.law.uci.edu/,401 E. Peltason Drive,Irvine,CA,92697-8010,Law Library,http://www.law.uci.edu/library/,none found,http://sites.uci.edu/lawlibrary/,https://www.facebook.com/UCILawLibrary/,http://www.law.uci.edu/library/about/staff.html
Loyola Marymount University,http://www.lls.edu/,919 Albany St.,Los Angeles,CA,90015,William M. Rains Library,http://www.lls.edu/resources/library/,https://twitter.com/llslawlib,none found,none found,http://www.lls.edu/resources/library/aboutthelibrary/staffdirectory/#d.en.26324
Southwestern Law School,http://www.swlaw.edu/,3050 Wilshire Boulevard,Los Angeles,CA,90010,Leigh H. Taylor Law Library,http://library.swlaw.edu/,none found,none found,none found,http://www.swlaw.edu/library/law_library_staff
University of California - Los Angeles,http://www.law.ucla.edu/,"385 Charles E. Young Drive, East",Los Angeles,CA,90095-1458,Hugh & Hazel Darling Law Library,http://www.law.ucla.edu/library,https://twitter.com/uclalawlibrary,none found,https://www.facebook.com/uclalawlibrary,http://www.law.ucla.edu/library/library-staff-directory/
University of Southern California,http://www.usc.edu/dept/law-lib/index.html,699 Exposition Boulevard ,Los Angeles,CA,90089,Asa V. Call Law Library,http://weblaw.usc.edu/library/index.cfm,https://twitter.com/USCLawLibrary,none found,https://www.facebook.com/USCLawLibrary/,http://weblaw.usc.edu/library/services/staff.cfm
Pepperdine University School of Law,http://law.pepperdine.edu/,24255 Pacific Coast Highway,Malibu,CA,90263,Jerene Appleby Harnish Law Library,http://law.pepperdine.edu/library/,https://twitter.com/PeppLawLibrary,http://lawcomm.pepperdine.edu/blogs/library/,https://www.facebook.com/pepperdinelawlibrary/,http://law.pepperdine.edu/library/directory.htm
University of La Verne,http://law.laverne.edu/,320 East D Street,Ontario,CA,91764,Law Library,http://lawlibrary.laverne.edu/,none found,none found,https://www.facebook.com/lavernelawlibrary/,http://lawlibrary.laverne.edu/about_staffdir.php
Chapman University (Fowler School of Law),http://www.chapman.edu/law/,1 University Drive,Orange,CA,92866,Hugh & Hazel Darling Law Library ,http://www.chapman.edu/law/student-resources/library/index.aspx,none found,none found,none found,http://www.chapman.edu/law/student-resources/library/library-staff.aspx
University of the Pacific (McGeorge School of Law),http://www.mcgeorge.edu/,3200 Fifth Ave.,Sacramento,CA,95817,Gordon D. Schaber Law Library,http://www.mcgeorge.edu/Library.htm,https://twitter.com/McGeorgeLawLib,none found,none found,http://www.mcgeorge.edu/Library/Meet_the_Staff.htm
California Western School of Law,http://www.cwsl.edu/,225 Cedar Street,San Diego,CA,92101,Library,https://www.cwsl.edu/student-life/library,https://twitter.com/CWSL_Library,http://blogs.cwsl.edu/blog/library/,none found,https://www.cwsl.edu/faculty-staff-and-campus-directories/faculty-and-staff-directory?department=Law%2BLibrary
Thomas Jefferson School of Law,http://www.tjsl.edu/,1155 Island Avenue,San Diego,CA,92101,Law Library,http://www.tjsl.edu/library,https://twitter.com/TJSL_Library,https://tjsllibrary.wordpress.com,https://www.facebook.com/tjsllibrary/,http://www.tjsl.edu/library/library-staff
University of San Diego,http://www.sandiego.edu/law/,5998 Alcalá Park,San Diego,CA,92110-2492,Pardee Legal Research Center,http://www.sandiego.edu/law/library/,none found,https://sites.sandiego.edu/lrc-orbit/,https://www.facebook.com/USD.LRC,http://www.sandiego.edu/law/library/directory/
Golden Gate University,http://www.ggu.edu/law,536 Mission Street,San Francisco,CA,94105,Law Library,http://law.ggu.edu/law/law-library,none found,none found,https://www.facebook.com/GGULawLibrary/,http://law.ggu.edu/law-library/about/
University of California - Hastings,http://www.uchastings.edu/,200 McAllister Street,San Francisco,CA,94102,Law Library,http://library.uchastings.edu/index.php,none found,https://hastingslawlibrary.wordpress.com/,none found,http://library.uchastings.edu/about/Staff.php
